City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,grand gaube,-20.0064,57.6608,27.22,76,100,8.42,MU,1681194333
129,andenes,69.3143,16.1194,2.99,75,0,2.57,NO,1681194334
130,nouadhibou,20.931,-17.0347,16.99,94,75,4.12,MR,1681194336
131,karak,31.1667,35.75,11.25,94,100,4.6,JO,1681194337
132,novi troyany,45.9427,28.8563,10.14,70,100,9.18,UA,1681194338
133,rockland,41.1668,-74.0496,12.13,56,4,1.4,US,1681194339
134,gat,31.61,34.7642,17.67,100,100,4.24,IL,1681194123
135,beringovskiy,63.05,179.3167,-15.74,88,100,8.06,RU,1681194341
136,half moon bay,37.4636,-122.4286,14.46,90,100,3.09,US,1681194342
137,tiksi,71.6872,128.8694,-18.28,92,39,2.04,RU,1681194343
138,bairiki,1.3292,172.9752,29.0,79,40,2.57,KI,1681194344
139,ketou,7.3633,2.5998,24.65,90,65,1.4,BJ,1681194345
140,ibotirama,-12.1853,-43.2206,22.07,85,53,0.87,BR,1681194074
141,samarai,-10.6167,150.6667,24.49,93,100,1.19,PG,1681194350
142,sur,22.5667,59.5289,27.28,69,44,1.05,OM,1681194351
143,saint-francois,46.4154,3.9054,9.26,93,100,1.54,FR,1681194352
144,usinsk,65.9939,57.5281,0.07,100,100,7.36,RU,1681194353
145,douai,50.3333,3.1667,8.29,90,60,5.83,FR,1681194082
146,talara,-4.5772,-81.2719,26.82,79,100,4.77,PE,1681194355
147,manadhoo,5.7667,73.3833,29.05,73,43,5.88,MV,1681194356
148,port alfred,-33.5906,26.891,16.21,60,72,4.02,ZA,1681194357
149,ossora,59.2353,163.0719,-7.95,93,100,8.4,RU,1681194358
150,kurri kurri,-32.8167,151.4833,20.7,68,26,3.38,AU,1681194359
151,shimoda,34.6667,138.95,21.17,69,39,5.81,JP,1681194361
152,ixtapa,20.7,-105.2,22.9,83,38,0.45,MX,1681194363
153,yulara,-25.2406,130.9889,35.08,18,92,7.04,AU,1681194364
154,waipawa,-41.4122,175.5153,14.48,73,83,2.95,NZ,1681194365
155,aginskoye,51.1,114.53,-0.39,40,61,11.57,RU,1681194368
156,honiara,-9.4333,159.95,26.08,87,96,0.07,SB,1681194369
157,henties bay,-22.116,14.2845,13.73,87,0,1.47,NA,1681194371
158,sfantu gheorghe,45.8667,25.7833,7.18,81,100,1.64,RO,1681194372
159,kaitangata,-46.2817,169.8464,12.39,97,61,2.8,NZ,1681194373
160,galle,6.0367,80.217,31.49,53,18,1.44,LK,1681194224
161,vwawa,-9.1167,32.9333,18.68,86,100,0.68,TZ,1681194376
162,sambava,-14.2667,50.1667,26.93,74,17,1.28,MG,1681194377
163,tuatapere,-46.1333,167.6833,12.66,99,100,1.65,NZ,1681194379
164,sosnovo-ozerskoye,52.5249,111.5418,-2.8,49,2,7.66,RU,1681194380
165,ancona,43.55,13.1667,9.15,67,75,2.06,IT,1681194381
166,nantucket,41.2835,-70.0995,8.03,84,0,6.17,US,1681194382
167,nuristan,35.3,70.8333,5.13,37,4,1.91,AF,1681194383
168,san quintin,30.4833,-115.95,13.53,91,2,3.41,MX,1681194385
169,ribeira grande,38.5167,-28.7,17.22,94,75,6.71,PT,1681194386
170,hami,42.8,93.45,18.35,12,73,0.8,CN,1681194387
171,vila velha,-20.3297,-40.2925,21.97,97,100,3.09,BR,1681194389
172,sao filipe,14.8961,-24.4956,21.48,62,76,3.24,CV,1681194390
173,pevek,69.7008,170.3133,-23.57,92,58,0.46,RU,1681194391
174,bethune,50.5333,2.6333,8.49,86,64,6.07,FR,1681194392
175,margate,51.3813,1.3862,7.95,80,43,1.79,GB,1681194393
176,kaliningrad,54.7065,20.511,9.03,78,39,4.27,RU,1681194189
177,sabha,27.0377,14.4283,14.65,22,8,1.33,LY,1681194395
178,muros,42.7762,-9.0603,12.6,96,99,1.33,ES,1681194397
179,tual,-5.6667,132.75,28.95,71,11,2.2,ID,1681194398
180,barcelona,41.3888,2.159,15.35,77,20,3.6,ES,1681194161
181,zalalovo,46.848,16.5875,3.43,70,95,2.27,HU,1681194400
182,provideniya,64.3833,-173.3,-23.01,96,8,3.83,RU,1681194401
183,arcata,40.8665,-124.0828,10.11,97,100,5.14,US,1681194265
184,ingham,42.6,-84.3833,11.68,60,0,1.54,US,1681194403
185,jiangyou,31.7667,104.7167,27.39,41,84,2.59,CN,1681194404
186,bathsheba,13.2167,-59.5167,25.34,73,40,7.2,BB,1681194405
187,saldanha,-33.0117,17.9442,10.03,79,49,4.42,ZA,1681194406
188,porto santo,33.072,-16.3415,16.21,82,20,1.54,PT,1681194407
189,atemar,54.181,45.4091,9.78,40,0,1.81,RU,1681194408
