City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,labuan,5.2767,115.2417,30.2,70,20,2.06,MY,1681199889
113,klaksvik,62.2266,-6.589,7.51,82,81,2.28,FO,1681199890
114,mahibadhoo,3.7833,72.9667,28.86,72,78,3.85,MV,1681199891
115,pavilosta,56.8879,21.1859,12.95,74,35,4.14,LV,1681199892
116,shadegan,30.6497,48.6647,27.97,16,99,7.55,IR,1681199894
117,ust-tsilma,65.441,52.1498,1.23,98,100,4.07,RU,1681199895
118,katsuura,35.1333,140.3,17.77,72,0,10.35,JP,1681199896
119,mweka,-4.85,21.5667,25.74,73,100,1.9,CD,1681199897
120,iquitos,-3.7481,-73.2472,23.02,94,0,0.0,PE,1681199899
121,kearney,40.6995,-99.0815,10.14,72,0,5.14,US,1681199678
122,punta alta,-38.8759,-62.0736,15.04,72,100,1.17,AR,1681199902
123,erenhot,43.6475,111.9767,5.78,12,0,11.2,CN,1681199903
124,saint-philippe,-21.3585,55.7679,28.77,71,100,3.07,RE,1681199904
125,lebedinyy,58.5167,125.5167,-7.49,89,100,5.36,RU,1681199905
126,butaritari,3.0707,172.7902,27.28,81,100,4.32,KI,1681199907
127,lukovetskiy,64.2956,41.9211,1.99,88,100,2.8,RU,1681199909
128,tashtyp,52.7939,89.8983,8.41,59,80,8.37,RU,1681199910
129,thinadhoo,0.5333,72.9333,28.46,70,39,1.0,MV,1681199912
130,fortuna,40.5982,-124.1573,9.4,96,99,0.45,US,1681199913
131,san quintin,30.4833,-115.95,13.9,87,0,2.72,MX,1681199914
132,kavieng,-2.5744,150.7967,27.29,77,98,2.04,PG,1681199915
133,maniitsoq,65.4167,-52.9,-1.55,67,19,3.24,GL,1681199916
134,ibicui,-14.8417,-39.9867,20.68,97,91,1.26,BR,1681199918
135,georgetown,5.4112,100.3354,33.96,66,20,4.63,MY,1681199919
136,union,40.6334,-74.2663,12.28,55,0,4.12,US,1681199636
137,cherskiy,68.75,161.3,-20.28,96,7,2.88,RU,1681199921
138,chuy,-33.6971,-53.4616,16.96,94,3,2.04,UY,1681199886
139,camacha,33.0833,-16.3333,15.68,77,20,2.06,PT,1681199923
140,san patricio,28.017,-97.5169,20.92,95,1,2.07,US,1681199924
141,kudahuvadhoo,2.6708,72.8944,28.87,71,89,3.07,MV,1681199876
142,souillac,-20.5167,57.5167,27.21,83,75,3.09,MU,1681199915
143,katherine,-14.4667,132.2667,31.18,58,100,3.6,AU,1681199927
144,chilca,-12.5211,-76.7372,23.25,84,100,3.19,PE,1681199928
145,porto novo,6.4965,2.6036,29.9,61,52,3.64,BJ,1681199810
146,kawalu,-7.3817,108.2082,28.88,68,74,2.5,ID,1681199930
147,pandan niog,6.2282,120.5631,28.03,74,100,4.45,PH,1681199931
148,palana,59.1167,159.9667,-10.65,84,100,8.48,RU,1681199932
149,bathsheba,13.2167,-59.5167,25.34,73,20,7.2,BB,1681199933
150,grenfell,-33.9,148.1667,13.58,51,100,2.24,AU,1681199934
151,nanortalik,60.1432,-45.2371,0.45,99,97,2.28,GL,1681199935
152,port lincoln,-34.7333,135.8667,20.13,79,100,5.43,AU,1681199936
153,bethel,41.3712,-73.414,9.24,72,0,0.0,US,1681199916
154,tecpan guatemala,14.7669,-90.9942,11.95,83,6,2.35,GT,1681199938
155,sartana,47.1744,37.6927,13.21,60,100,10.92,UA,1681199939
156,pringsewu,-5.3582,104.9744,30.74,61,72,2.1,ID,1681199941
157,hofn,64.2539,-15.2082,2.22,98,100,1.86,IS,1681199943
158,podenii noi,45.1167,26.1667,13.1,57,100,5.03,RO,1681199944
159,northam,51.0333,-4.2167,9.78,89,94,5.85,GB,1681199946
160,ilulissat,69.2167,-51.1,-1.0,55,0,8.71,GL,1681199947
161,bengkulu,-3.8004,102.2655,28.92,68,46,3.04,ID,1681199919
162,bahia blanca,-38.7196,-62.2724,14.9,85,100,0.89,AR,1681199949
163,arraial do cabo,-22.9661,-42.0278,19.92,94,0,1.54,BR,1681199950
164,kuraymah,18.55,31.85,35.96,13,0,4.36,SD,1681199952
165,igrim,63.1906,64.4162,-1.36,93,100,2.32,RU,1681199953
166,tigil,57.8,158.6667,-8.76,89,99,6.77,RU,1681199954
167,ahipara,-35.1667,173.1667,17.72,93,27,5.31,NZ,1681199955
168,the valley,18.217,-63.0578,25.05,81,4,6.09,AI,1681199957
169,ust-kuyga,70.0167,135.6,-13.63,77,0,1.28,RU,1681199958
170,vila franca do campo,37.7167,-25.4333,16.23,90,71,4.9,PT,1681199959
171,beyneu,45.3167,55.2,19.91,30,100,2.34,KZ,1681199960
172,qaqortoq,60.7167,-46.0333,-0.7,96,99,1.8,GL,1681199962
173,thompson,55.7435,-97.8558,1.09,60,0,2.06,CA,1681199963
174,hutchinson,38.0608,-97.9298,12.24,82,0,3.5,US,1681199964
175,dasoguz,41.8363,59.9666,17.97,55,0,4.12,TM,1681199965
176,ancud,-41.8697,-73.8203,13.42,98,100,2.29,CL,1681199966
177,ahuimanu,21.4447,-157.8378,25.84,79,40,6.69,US,1681199967
178,oranjestad,12.524,-70.027,26.06,85,20,7.72,AW,1681199969
179,shelburne,44.0787,-80.2041,11.25,56,100,6.31,CA,1681199970
180,hakui,36.8833,136.7833,24.08,59,100,6.74,JP,1681199971
181,dunedin,-45.8742,170.5036,12.86,95,100,3.32,NZ,1681199972
182,shestakovo,56.4915,103.96,3.33,69,100,4.77,RU,1681199973
183,staryy nadym,65.6118,72.6842,-13.91,72,13,4.7,RU,1681199974
184,richards bay,-28.783,32.0377,22.11,74,66,4.58,ZA,1681199975
185,bambous virieux,-20.3428,57.7575,29.01,83,75,3.09,MU,1681199977
186,birjand,32.8663,59.2211,26.26,9,0,2.06,IR,1681199978
187,sao filipe,14.8961,-24.4956,21.48,62,100,4.07,CV,1681199979
188,moses lake,47.1301,-119.2781,8.38,87,100,3.88,US,1681199980
189,yar-sale,66.8333,70.8333,-17.75,78,2,2.61,RU,1681199981
190,guiratinga,-16.3494,-53.7583,20.45,93,99,1.07,BR,1681199982
191,geraldton,-28.7667,114.6,24.23,46,75,5.66,AU,1681199712
192,lavrentiya,65.5833,-171.0,-28.64,98,14,2.76,RU,1681199984
193,beringovskiy,63.05,179.3167,-15.24,89,100,8.83,RU,1681199985
194,magadan,59.5667,150.8,-7.04,72,100,3.46,RU,1681199987
195,port elizabeth,-33.918,25.5701,19.5,52,0,9.26,ZA,1681199988
196,preston,53.7667,-2.7167,9.54,75,40,7.2,GB,1681199989
197,puri,19.8,85.85,39.29,58,0,6.32,IN,1681199990
198,paracuru,-3.41,-39.0306,23.39,90,100,3.17,BR,1681199991
199,eureka,40.8021,-124.1637,10.37,96,98,3.58,US,1681199992
200,suwalki,54.1118,22.9309,12.35,64,4,5.05,PL,1681199993
201,pevek,69.7008,170.3133,-26.86,100,19,0.85,RU,1681199994
202,acarau,-2.8856,-40.12,25.01,86,100,3.21,BR,1681199995
203,uige,-7.6087,15.0613,23.99,81,100,1.34,AO,1681199996
204,adrar,20.5022,-10.0711,25.07,22,29,5.99,MR,1681199997
205,longyearbyen,78.2186,15.6401,-4.09,80,75,5.66,SJ,1681199998
206,angoche,-16.2325,39.9086,30.81,61,8,1.3,MZ,1681200001
207,ribeira grande,38.5167,-28.7,16.54,94,75,7.2,PT,1681200015
208,irbil,36.1926,44.0106,26.9,28,75,7.2,IQ,1681200008
209,mantua,45.1667,10.7833,15.75,63,100,1.6,IT,1681200030
210,narowal,32.1,74.8833,34.94,16,0,3.63,PK,1681200041
211,lucapa,-8.4192,20.7447,21.56,85,100,1.24,AO,1681200042
212,teguldet,57.3064,88.1667,-1.81,67,83,7.23,RU,1681200043
213,kutum,14.2,24.6667,33.21,8,75,6.19,SD,1681200044
214,imeni poliny osipenko,52.4201,136.4853,0.57,98,100,5.76,RU,1681200045
215,black river,18.0264,-77.8487,22.03,92,0,0.78,JM,1681200047
216,viedma,-40.8135,-62.9967,14.09,80,100,2.97,AR,1681200046
217,kidal,18.4411,1.4078,29.25,11,63,8.09,ML,1681200049
218,seoni malwa,22.45,77.4667,38.91,10,3,2.54,IN,1681200050
219,zhezkazgan,47.8043,67.7144,15.99,20,20,7.0,KZ,1681200051
220,almaty,43.25,76.95,10.95,62,100,11.0,KZ,1681200007
221,leningradskiy,69.3833,178.4167,-25.18,97,87,3.18,RU,1681200053
222,vila velha,-20.3297,-40.2925,21.97,98,100,1.54,BR,1681199923
223,santiago del estero,-27.7951,-64.2615,19.78,71,0,3.63,AR,1681199881
224,sao jose da coroa grande,-8.8978,-35.1478,22.12,91,67,0.75,BR,1681200057
